Ensembl_ID	HGNC_symbol	logFC	Fold.Change	P.Value	adj.P.Val
ENSG00000184254	ALDH1A3	1.4808992664319	2.79122662909651	5.82324938723615e-06	0.118462816275036
ENSG00000184828	ZBTB7C	0.993957496100103	1.99164082868118	8.11454299591821e-06	0.118462816275036
ENSG00000112799	LY86	-0.764778858886734	-1.69910953313248	1.16244143635728e-05	0.118462816275036
ENSG00000168329	CX3CR1	-1.57657570613701	-2.9826107442442	1.56232425217056e-05	0.118462816275036
ENSG00000119535	CSF3R	-0.847597549221842	-1.79950180481967	1.88479548554106e-05	0.118462816275036
ENSG00000232859	LYRM9	1.0868542521707	2.1241037752109	1.88499986116693e-05	0.118462816275036
ENSG00000151276	MAGI1	0.596452281299969	1.51199386033126	5.07426251296246e-05	0.247068808896035
ENSG00000242574	HLA-DMB	-1.03509864745948	-2.0492537635268	7.54865239203014e-05	0.247068808896035
ENSG00000180353	HCLS1	-0.714135015588448	-1.64049934244712	8.09759321876895e-05	0.247068808896035
ENSG00000275395	FCGBP	-0.869307749608247	-1.82678614076247	9.87068073476559e-05	0.247068808896035
ENSG00000097021	ACOT7	-0.868746560549367	-1.82607568359534	0.000103167134201723	0.247068808896035
ENSG00000147576	ADHFE1	0.802151714961028	1.74369983829843	0.000103429260450841	0.247068808896035
ENSG00000106648	GALNTL5	-0.854067326151952	-1.80758980620522	0.000105620912340932	0.247068808896035
ENSG00000128335	APOL2	1.00791023924855	2.01099603793596	0.000110561210552571	0.247068808896035
ENSG00000148110	MFSD14B	-0.553745352429513	-1.46789151821007	0.000114616927644555	0.247068808896035
ENSG00000132854	KANK4	1.1922222347868	2.28504445807154	0.000117446057947854	0.247068808896035
ENSG00000011201	ANOS1	1.14529504413154	2.21191361664756	0.000122040510710067	0.247068808896035
ENSG00000197943	PLCG2	-0.584773025962672	-1.49980301209393	0.000124494321187702	0.247068808896035
ENSG00000198223	CSF2RA	-0.620563791952571	-1.53747589534233	0.000165693566778799	0.308874210498735
ENSG00000141750	STAC2	0.812923697148568	1.75676802012899	0.000176360803592914	0.308874210498735
ENSG00000082074	FYB1	-0.52481131765355	-1.43874540191133	0.000183854998341327	0.308874210498735
ENSG00000157502	MUM1L1	-1.00728105784992	-2.01011920298487	0.000213517466381748	0.308874210498735
ENSG00000165025	SYK	-0.544888695359643	-1.45890778443662	0.000228945629073111	0.308874210498735
ENSG00000016391	CHDH	0.719001012161405	1.64604184538182	0.000234717042128789	0.308874210498735
ENSG00000242732	RTL5	0.744333218656263	1.67519985052955	0.000236502722489303	0.308874210498735
ENSG00000171502	COL24A1	-0.976244129770849	-1.96733702845353	0.000244663876056816	0.308874210498735
ENSG00000181631	P2RY13	-0.832139934686458	-1.78032414126414	0.000264631711275219	0.308874210498735
ENSG00000256616		0.583627673084168	1.49861279382307	0.000280781798874989	0.308874210498735
ENSG00000066185	ZMYND12	0.525361344552769	1.43929402758731	0.000287958511127828	0.308874210498735
ENSG00000169213	RAB3B	-0.974244595425455	-1.96461224388956	0.000305576030019732	0.308874210498735
ENSG00000239719		0.528833861557029	1.44276253107966	0.000310105960181484	0.308874210498735
ENSG00000132965	ALOX5AP	-1.33523830119844	-2.52317155517982	0.000318476763187241	0.308874210498735
ENSG00000103811	CTSH	0.867872576372626	1.8249697825636	0.000321682965729972	0.308874210498735
ENSG00000228432	DHFRP2	-0.493050369307633	-1.40741751211878	0.000325589413569436	0.308874210498735
ENSG00000196664	TLR7	-0.488357954815293	-1.40284727543765	0.000327657157025204	0.308874210498735
ENSG00000164828	SUN1	-0.49757442785517	-1.41183787318274	0.000358111338302185	0.32150724365144
ENSG00000107984	DKK1	0.408672576291425	1.32746385252725	0.00039133116227392	0.333907342126253
ENSG00000101958	GLRA2	-0.581477480180024	-1.49638092469379	0.000410869803497938	0.333907342126253
ENSG00000231389	HLA-DPA1	-0.948127287606171	-1.9293665878312	0.000414488708755733	0.333907342126253
ENSG00000110367	DDX6	0.428525092217165	1.34585696582082	0.00041521150776939	0.333907342126253
ENSG00000170275	CRTAP	0.416465385365453	1.33465363355282	0.000417981002401395	0.333907342126253
ENSG00000241697	TMEFF1	-0.488840696725779	-1.40331676238317	0.000431071510333634	0.333907342126253
ENSG00000270861		-0.498578852503857	-1.41282115688405	0.000433910408258053	0.333907342126253
ENSG00000133315	MACROD1	0.612113367073273	1.52849662541374	0.000451887726673926	0.333965382004209
ENSG00000140678	ITGAX	-0.486139292241108	-1.40069155116201	0.00045352561763568	0.333965382004209
ENSG00000091436	MAP3K20	0.797606167053066	1.73821455030511	0.00046500407870514	0.333965382004209
ENSG00000164794	KCNV1	-0.601512237508192	-1.51730617838542	0.000471380431820994	0.333965382004209
ENSG00000168393	DTYMK	-0.497205533759611	-1.41147691535028	0.000496034719656999	0.333965382004209
ENSG00000106483	SFRP4	-0.43405331686574	-1.35102401264438	0.000499664913286775	0.333965382004209
